date,home_team,away_team,home_score,away_score
2018-08-25,Massachusetts,Duquesne,63,15
2018-08-25,Rice,Prairie View A&M,31,28
2018-08-25,Colorado State,Hawai'i,34,43
2018-08-26,New Mexico State,Wyoming,7,29
2018-08-30,Georgia State,Kennesaw State,24,20
2018-08-30,Ball State,Central Connecticut,42,6
2018-08-30,Minnesota,New Mexico State,48,10
2018-08-30,UConn,UCF,17,56
2018-08-31,Purdue,Northwestern,27,31
2018-08-31,Tulane,Wake Forest,17,23
2018-08-31,Utah,Weber State,41,10
2018-08-31,Oklahoma State,Missouri State,58,17
2018-08-31,UL Monroe,SE Louisiana,34,31
2018-08-31,UAB,Savannah St,52,0
2018-08-31,Texas A&M,Northwestern State,59,7
2018-08-31,San José State,UC Davis,38,44
2018-08-31,Western Michigan,Syracuse,42,55
2018-08-31,Eastern Michigan,Monmouth,51,17
2018-08-31,Michigan State,Utah State,38,31
2018-08-31,Duke,Army,34,14
2018-09-01,Wisconsin,Western Kentucky,34,3
2018-09-01,Nevada,Portland State,72,19
2018-09-01,Stanford,San Diego State,31,10
2018-09-01,Colorado State,Colorado,13,45
2018-09-01,Oklahoma,Florida Atlantic,63,14
2018-09-01,South Carolina,Coastal Carolina,49,15
2018-09-01,Rutgers,Texas State,35,7
2018-09-01,Illinois,Kent State,31,24
2018-09-01,Rice,Houston,27,45
2018-09-01,Texas Tech,Ole Miss,27,47
2018-09-01,Ohio State,Oregon State,77,31
2018-09-01,Temple,Villanova,17,19
2018-09-01,TCU,Southern,55,7
2018-09-01,Maryland,Texas,34,29
2018-09-01,NC State,James Madison,24,13
2018-09-01,Clemson,Furman,48,7
2018-09-01,Georgia Tech,Alcorn State,41,0
2018-09-01,Boston College,Massachusetts,55,21
2018-09-01,Ohio,Howard,38,32
2018-09-01,Air Force,Stony Brook,38,0
2018-09-01,Auburn,Washington,21,16
2018-09-01,Georgia,Austin Peay,45,0
2018-09-01,Pittsburgh,UAlbany,33,7
2018-09-01,Kentucky,Central Michigan,35,20
2018-09-01,Wyoming,Washington State,19,41
2018-09-01,Tennessee,West Virginia,14,40
2018-09-01,Penn State,App State,45,38
2018-09-01,Iowa,Northern Illinois,33,7
2018-09-01,Arkansas,Eastern Illinois,55,20
2018-09-01,Missouri,UT Martin,51,14
2018-09-01,USC,UNLV,43,21
2018-09-01,California,North Carolina,24,17
2018-09-01,Miami (OH),Marshall,28,35
2018-09-01,Charlotte,Fordham,34,10
2018-09-01,Troy,Boise State,20,56
2018-09-01,Liberty,Old Dominion,52,10
2018-09-01,Georgia Southern,South Carolina State,37,6
2018-09-01,South Florida,Elon,34,14
2018-09-01,Buffalo,Delaware State,48,10
2018-09-01,Virginia,Richmond,42,13
2018-09-01,Florida International,Indiana,28,38
2018-09-01,Memphis,Mercer,66,14
