date,home_team,away_team,home_score,away_score
2024-08-24,Georgia Tech,Florida State,24,21
2024-08-24,New Mexico,Montana State,31,35
2024-08-25,Nevada,SMU,24,29
2024-08-25,Hawai'i,Delaware State,35,14
2024-08-29,Rutgers,Howard,44,7
2024-08-29,Wake Forest,North Carolina A&T,45,13
2024-08-29,NC State,Western Carolina,38,21
2024-08-29,Buffalo,Lafayette,30,13
2024-08-29,UL Monroe,Jackson State,30,14
2024-08-29,UCF,New Hampshire,57,3
2024-08-29,Central Michigan,Central Connecticut,66,10
2024-08-29,Bowling Green,Fordham,41,17
2024-08-29,Toledo,Duquesne,49,10
2024-08-29,Arkansas,Arkansas-Pine Bluff,70,0
2024-08-30,Colorado,North Dakota State,31,26
2024-08-30,Minnesota,North Carolina,17,19
2024-08-30,Missouri,Murray State,51,0
2024-08-30,Kansas,Lindenwood,48,3
2024-08-30,Jacksonville State,Coastal Carolina,27,55
2024-08-30,UAB,Alcorn State,41,3
2024-08-30,Tulsa,Northwestern State,62,28
2024-08-30,Tulane,SE Louisiana,52,0
2024-08-30,Illinois,Eastern Illinois,45,0
2024-08-30,Utah,Southern Utah,49,0
2024-08-30,San José State,Sacramento State,42,24
2024-08-30,Army,Lehigh,42,7
2024-08-30,Michigan State,Florida Atlantic,16,10
2024-08-30,Oklahoma,Temple,51,3
2024-08-30,Duke,Elon,26,3
2024-08-31,Wisconsin,Western Michigan,28,14
2024-08-31,Stanford,TCU,27,34
2024-08-31,Utah State,Robert Morris,36,14
2024-08-31,West Virginia,Penn State,12,34
2024-08-31,Iowa,Illinois State,40,0
2024-08-31,Navy,Bucknell,49,21
2024-08-31,Purdue,Indiana State,49,0
2024-08-31,Maryland,UConn,50,7
2024-08-31,Georgia,Clemson,34,3
2024-08-31,Vanderbilt,Virginia Tech,34,27
2024-08-31,Pittsburgh,Kent State,55,24
2024-08-31,Louisville,Austin Peay,62,0
2024-08-31,Tennessee,Chattanooga,69,3
2024-08-31,Oklahoma State,South Dakota State,44,20
2024-08-31,Cincinnati,Towson,38,20
2024-08-31,Washington State,Portland State,70,30
2024-08-31,Northwestern,Miami (OH),13,6
2024-08-31,App State,East Tennessee State,38,10
2024-08-31,Florida,Miami,17,41
2024-08-31,Northern Illinois,Western Illinois,54,15
2024-08-31,Air Force,Merrimack,21,6
2024-08-31,Texas,Colorado State,52,0
2024-08-31,Syracuse,Ohio,38,22
2024-08-31,Ohio State,Akron,52,6
2024-08-31,Massachusetts,Eastern Michigan,14,28
2024-08-31,Iowa State,North Dakota,21,3
2024-08-31,UTSA,Kennesaw State,28,16
2024-08-31,Indiana,Florida International,31,7
2024-08-31,Nebraska,UTEP,40,7
2024-08-31,Georgia Southern,Boise State,45,56
2024-08-31,South Carolina,Old Dominion,23,19
2024-08-31,South Alabama,North Texas,38,52
2024-08-31,California,UC Davis,31,13
2024-08-31,Marshall,Stony Brook,45,3
2024-08-31,Virginia,Richmond,34,13
2024-08-31,Liberty,Campbell,41,24
2024-08-31,East Carolina,Norfolk State,42,3
2024-08-31,Mississippi State,Eastern Kentucky,56,7
2024-08-31,Oregon State,Idaho State,38,15
2024-08-31,Ole Miss,Furman,76,0
2024-08-31,Middle Tennessee,Tennessee Tech,32,25
2024-08-31,Alabama,Western Kentucky,63,0
2024-08-31,Arkansas State,Central Arkansas,34,31
2024-08-31,Kansas State,UT Martin,41,6
2024-08-31,South Florida,Bethune-Cookman,48,3
2024-08-31,Baylor,Tarleton State,45,3
2024-08-31,Houston,UNLV,7,27
2024-08-31,Troy,Nevada,26,28
2024-08-31,Memphis,North Alabama,40,0
2024-08-31,Rice,Sam Houston,14,34
2024-08-31,Texas Tech,Abilene Christian,52,51
2024-08-31,Auburn,Alabama A&M,73,3
2024-08-31,Texas A&M,Notre Dame,13,23
2024-08-31,Hawai'i,UCLA,13,16
2024-08-31,Oregon,Idaho,24,14
2024-08-31,Michigan,Fresno State,30,10
2024-08-31,Kentucky,Southern Miss,31,0
2024-09-01,Louisiana,Grambling,40,10
2024-09-01,Texas State,Lamar,34,27
2024-09-01,BYU,Southern Illinois,41,13
2024-09-01,Charlotte,James Madison,7,30
2024-09-01,Louisiana Tech,Nicholls,25,17
2024-09-01,San Diego State,East Texas A&M,45,14
2024-09-01,Georgia Tech,Georgia State,35,12
2024-09-01,SMU,Houston Christian,59,7
2024-09-01,New Mexico State,Southeast Missouri State,23,16
2024-09-01,Arizona,New Mexico,61,39
2024-09-01,Arizona State,Wyoming,48,7
2024-09-01,Washington,Weber State,35,3
2024-09-01,LSU,USC,20,27
2024-09-02,Florida State,Boston College,13,28
2024-09-06,Indiana,Western Illinois,77,3
2024-09-06,SMU,BYU,15,18
2024-09-07,Northwestern,Duke,20,26
2024-09-07,Rutgers,Akron,49,17
2024-09-07,Memphis,Troy,38,17
2024-09-07,Oklahoma State,Arkansas,39,31
2024-09-07,Michigan,Texas,12,31
2024-09-07,Cincinnati,Pittsburgh,27,28
2024-09-07,Syracuse,Georgia Tech,31,28
2024-09-07,Minnesota,Rhode Island,48,0
2024-09-07,UConn,Merrimack,63,17
2024-09-07,Tulane,Kansas State,27,34
2024-09-07,Penn State,Bowling Green,34,27
2024-09-07,Florida Atlantic,Army,7,24
2024-09-07,Texas A&M,McNeese,52,10
2024-09-07,Georgia,Tennessee Tech,48,3
2024-09-07,Ball State,Missouri State,42,34
2024-09-07,Kent State,St. Francis (PA),17,23
2024-09-07,UNLV,Utah Tech,72,14
2024-09-07,Toledo,Massachusetts,38,23
2024-09-07,Iowa,Iowa State,19,20
2024-09-07,Navy,Temple,38,11
2024-09-07,Notre Dame,Northern Illinois,14,16
2024-09-07,Utah,Baylor,23,12
2024-09-07,Wisconsin,South Dakota,27,13
2024-09-07,Boston College,Duquesne,56,0
2024-09-07,Wyoming,Idaho,13,17
2024-09-07,North Carolina,Charlotte,38,20
2024-09-07,Louisville,Jacksonville State,49,14
2024-09-07,Washington,Eastern Michigan,30,9
2024-09-07,Maryland,Michigan State,24,27
2024-09-07,Kentucky,South Carolina,6,31
2024-09-07,Auburn,California,14,21
2024-09-07,Texas State,UTSA,49,10
2024-09-07,Ole Miss,Middle Tennessee,52,3
2024-09-07,Virginia Tech,Marshall,31,14
2024-09-07,Florida International,Central Michigan,52,16
2024-09-07,Old Dominion,East Carolina,14,20
2024-09-07,West Virginia,UAlbany,49,14
2024-09-07,Ohio,South Alabama,27,20
2024-09-07,James Madison,Gardner-Webb,13,6
2024-09-07,Miami,Florida A&M,56,9
2024-09-07,UCF,Sam Houston,45,14
